Estación: Barrio del Pilar;;;;
Fecha;Hora;CO;NO2;O3
26/12/2015;22:00;0.6;80;7
26/12/2015;23:00;0.6;74;7
26/12/2015;24:00;0.5;55;9
27/12/2015;01:00;0.4;42;13
27/12/2015;02:00;0.3;41;14
27/12/2015;03:00;0.3;37;16
27/12/2015;04:00;0.3;33;19
27/12/2015;05:00;0.3;32;19
27/12/2015;06:00;0.2;31;22
27/12/2015;07:00;0.3;24;30
27/12/2015;08:00;0.3;35;21
27/12/2015;09:00;0.3;32;25
27/12/2015;10:00;0.4;37;27
27/12/2015;11:00;0.4;42;23
27/12/2015;12:00;0.3;33;39
27/12/2015;13:00;0.3;27;51
27/12/2015;14:00;0.3;25;54
27/12/2015;15:00;0.3;29;50
27/12/2015;16:00;0.3;32;46
27/12/2015;17:00;0.3;30;49
27/12/2015;18:00;0.3;34;44
27/12/2015;19:00;0.4;54;24
27/12/2015;20:00;0.4;54;23
27/12/2015;21:00;0.4;52;22
27/12/2015;22:00;0.4;55;21
27/12/2015;23:00;0.4;55;19
27/12/2015;24:00;0.3;32;36
28/12/2015;01:00;0.3;28;37
28/12/2015;02:00;0.3;36;27
28/12/2015;03:00;0.3;46;16
28/12/2015;04:00;0.3;31;28
28/12/2015;05:00;0.2;29;29
28/12/2015;06:00;0.2;26;34
28/12/2015;07:00;0.3;37;25
28/12/2015;08:00;0.4;62;8
28/12/2015;09:00;0.6;65;10
28/12/2015;10:00;0.4;66;11
28/12/2015;11:00;0.4;60;17
28/12/2015;12:00;0.5;40;37
28/12/2015;13:00;0.4;52;32
28/12/2015;14:00;0.3;42;43
28/12/2015;15:00;0.3;49;36
28/12/2015;16:00;0.4;53;27
28/12/2015;17:00;0.4;61;14
28/12/2015;18:00;0.6;77;9
28/12/2015;19:00;0.5;77;8
28/12/2015;20:00;0.5;76;10
28/12/2015;21:00;0.5;77;8
28/12/2015;22:00;0.4;61;17
28/12/2015;23:00;0.3;48;25
28/12/2015;24:00;0.3;30;39
29/12/2015;01:00;0.2;16;48
29/12/2015;02:00;0.2;11;53
29/12/2015;03:00;0.2;8;56
29/12/2015;04:00;0.2;7;55
29/12/2015;05:00;0.2;10;49
29/12/2015;06:00;0.2;14;49
29/12/2015;07:00;0.3;35;29
29/12/2015;08:00;0.4;51;15
29/12/2015;09:00;0.4;62;8
29/12/2015;10:00;0.5;63;9
29/12/2015;11:00;0.4;50;16
29/12/2015;12:00;-;-;14
29/12/2015;13:00;-;-;12
29/12/2015;14:00;0.5;60;-
29/12/2015;15:00;0.5;65;20
29/12/2015;16:00;0.5;62;22
29/12/2015;17:00;0.4;51;27
29/12/2015;18:00;0.5;61;12
29/12/2015;19:00;0.5;61;10
29/12/2015;20:00;0.4;54;20
29/12/2015;21:00;0.4;54;22
29/12/2015;22:00;0.3;40;31
29/12/2015;23:00;0.3;30;38
29/12/2015;24:00;0.3;24;43
